epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.732,1.53939,3.64107,0.0055,0.72376,0.56462,0.62964,0.38701,1.46052,2.30444,0.00622,0.00995261,0.00331754,0.00995261,0.00331754,0.00995261,0.00331754,0.00995261,0.00331754
2,181.731,1.57779,2.0246,0.00558,0.72436,0.56333,0.62976,0.37329,1.50893,1.99244,0.00655,0.0198209,0.00660697,0.0198209,0.00660697,0.0198209,0.00660697,0.0198209,0.00660697
3,256.749,1.66062,1.80783,0.00593,0.67881,0.51338,0.55212,0.29941,1.83638,3.04441,0.00843,0.0295572,0.00985241,0.0295572,0.00985241,0.0295572,0.00985241,0.0295572,0.00985241
4,331.269,1.84455,2.01491,0.00674,0.75202,0.54348,0.60516,0.32903,1.74637,1.91351,0.00765,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,406.033,1.78801,1.85052,0.00657,0.64084,0.47726,0.51576,0.2901,1.69203,3.12783,0.00732,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,480.527,1.75806,1.71381,0.00636,0.74286,0.55704,0.63562,0.36011,1.63213,1.68176,0.00731,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,558.433,1.69434,1.59826,0.00608,0.77802,0.57641,0.67254,0.39635,1.56869,1.50422,0.00679,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,636.666,1.7168,1.56746,0.00622,0.75842,0.62314,0.70817,0.41851,1.58633,1.39656,0.00705,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,715.325,1.68943,1.52931,0.00613,0.80122,0.67812,0.75759,0.45577,1.48169,1.3307,0.00644,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,791.237,1.63774,1.41638,0.00597,0.764,0.64562,0.70239,0.43746,1.49355,1.40197,0.00654,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,867.778,1.62026,1.30818,0.00575,0.81043,0.68336,0.76895,0.48281,1.44644,1.14631,0.00633,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,943.222,1.6004,1.34004,0.00577,0.82606,0.66824,0.76814,0.46232,1.49806,1.21781,0.0065,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1018.63,1.61896,1.33179,0.00581,0.77371,0.70126,0.76112,0.48077,1.40191,1.18506,0.00593,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1093.66,1.5735,1.2535,0.00559,0.85128,0.62665,0.73841,0.46459,1.4053,1.28496,0.00606,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1168.26,1.58348,1.23557,0.00576,0.87236,0.72349,0.81841,0.50051,1.43972,1.03492,0.00635,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1242.35,1.58313,1.19838,0.00559,0.79508,0.67478,0.77541,0.48548,1.38717,1.18764,0.006,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1317.13,1.53579,1.17341,0.00536,0.769,0.69536,0.76916,0.47927,1.37254,1.13627,0.00591,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1392.01,1.56266,1.14741,0.00561,0.83617,0.75425,0.83886,0.52417,1.3756,1.0216,0.00587,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1466.05,1.5197,1.10206,0.00526,0.88439,0.7949,0.87535,0.57238,1.29959,0.84128,0.00553,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1539.03,1.55102,1.10581,0.00543,0.83942,0.78557,0.85856,0.5407,1.30113,0.84378,0.00558,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
