epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,626.612,1.29109,0.76001,1.22943,0.78764,0.77763,0.76648,0.25152,2.40598,0.98624,2.04416,0.00999296,0.00333099,0.00999296,0.00333099,0.00999296,0.00333099,0.00999296,0.00333099
2,1186.64,1.26636,0.73516,1.21215,0.77889,0.78727,0.74834,0.24928,2.35683,0.97259,1.99481,0.0193104,0.00643681,0.0193104,0.00643681,0.0193104,0.00643681,0.0193104,0.00643681
3,1742.97,1.28598,0.75422,1.21894,0.77612,0.79316,0.76463,0.26495,2.3226,1.03341,1.91356,0.0280773,0.00935909,0.0280773,0.00935909,0.0280773,0.00935909,0.0280773,0.00935909
4,2288.42,1.32544,0.79112,1.238,0.78474,0.77317,0.77946,0.27473,2.27222,1.06403,1.89627,0.0271258,0.00904194,0.0271258,0.00904194,0.0271258,0.00904194,0.0271258,0.00904194
5,2861.11,1.32454,0.79193,1.23997,0.77624,0.7909,0.74514,0.24559,2.28879,1.01189,1.95873,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
6,3419.29,1.31492,0.78257,1.23646,0.76558,0.76902,0.75216,0.24461,2.34735,1.01992,2.01007,0.0253594,0.00845313,0.0253594,0.00845313,0.0253594,0.00845313,0.0253594,0.00845313
7,3970.06,1.31042,0.77601,1.23981,0.76955,0.78377,0.72269,0.2306,2.4307,0.97704,2.07726,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
8,4527.72,1.29916,0.76957,1.22892,0.81533,0.79017,0.79558,0.2591,2.33339,0.9661,1.94317,0.0235031,0.00783438,0.0235031,0.00783438,0.0235031,0.00783438,0.0235031,0.00783438
9,5079.49,1.2915,0.7577,1.22216,0.76148,0.76633,0.71679,0.22573,2.39638,1.00358,2.09873,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
10,5630.69,1.28774,0.75046,1.21869,0.79104,0.78385,0.74557,0.24711,2.36792,0.98946,2.08373,0.0216469,0.00721562,0.0216469,0.00721562,0.0216469,0.00721562,0.0216469,0.00721562
11,6174.42,1.27976,0.74586,1.21776,0.79617,0.78274,0.8021,0.28125,2.27957,1.00042,1.84967,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
12,6710.35,1.30964,0.76918,1.23518,0.81349,0.82034,0.81517,0.2755,2.3133,0.9348,1.9128,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
13,7244.26,1.30558,0.75936,1.22516,0.77231,0.78499,0.75458,0.2599,2.37,0.9623,2.02235,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064
14,7796.65,1.29349,0.75504,1.22282,0.82567,0.8051,0.80971,0.27108,2.31933,0.92692,1.93733,0.0183,0.0061,0.0183,0.0061,0.0183,0.0061,0.0183,0.0061
15,8361.19,1.28755,0.74151,1.2171,0.78427,0.75903,0.72421,0.22693,2.42238,0.96107,2.01543,0.0174,0.0058,0.0174,0.0058,0.0174,0.0058,0.0174,0.0058
16,8915.28,1.27801,0.73377,1.20947,0.81251,0.791,0.79858,0.27242,2.34054,0.94605,1.96491,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
17,9454.57,1.27434,0.73351,1.21014,0.78058,0.78302,0.73467,0.22805,2.41837,0.94303,2.11609,0.0156,0.0052,0.0156,0.0052,0.0156,0.0052,0.0156,0.0052
18,9986.34,1.25997,0.72349,1.20668,0.80824,0.79784,0.78235,0.25557,2.35443,0.93097,1.98132,0.0147,0.0049,0.0147,0.0049,0.0147,0.0049,0.0147,0.0049
19,10518.7,1.25133,0.71431,1.19693,0.79238,0.79249,0.76038,0.2495,2.40265,0.90413,2.0365,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046
20,11063.8,1.24339,0.70655,1.19227,0.78111,0.79059,0.76372,0.25696,2.39067,0.92865,2.0009,0.0129,0.0043,0.0129,0.0043,0.0129,0.0043,0.0129,0.0043
21,11603.2,1.23335,0.69999,1.18287,0.81251,0.81288,0.78798,0.26186,2.36513,0.88181,1.97743,0.012,0.004,0.012,0.004,0.012,0.004,0.012,0.004
22,12132,1.23099,0.69772,1.18171,0.82021,0.82006,0.79117,0.25937,2.35816,0.88401,1.97179,0.0111,0.0037,0.0111,0.0037,0.0111,0.0037,0.0111,0.0037
23,12661.6,1.21721,0.6817,1.1757,0.8013,0.80085,0.75935,0.24188,2.38916,0.90066,2.03058,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
24,13217.2,1.15771,0.54786,1.15097,0.80165,0.81277,0.76675,0.24741,2.36243,0.89662,2.00723,0.0093,0.0031,0.0093,0.0031,0.0093,0.0031,0.0093,0.0031
25,13759.7,1.13922,0.5358,1.13854,0.7989,0.81339,0.79274,0.26204,2.33758,0.89861,1.94251,0.0084,0.0028,0.0084,0.0028,0.0084,0.0028,0.0084,0.0028
26,14292,1.13143,0.52609,1.13363,0.81011,0.82398,0.80287,0.27,2.32895,0.87654,1.92727,0.0075,0.0025,0.0075,0.0025,0.0075,0.0025,0.0075,0.0025
27,14831.3,1.11556,0.51995,1.12538,0.80903,0.81775,0.80625,0.27151,2.32693,0.88565,1.91994,0.0066,0.0022,0.0066,0.0022,0.0066,0.0022,0.0066,0.0022
28,15371.7,1.10449,0.51061,1.11879,0.82499,0.82639,0.82103,0.27976,2.31965,0.86073,1.91034,0.0057,0.0019,0.0057,0.0019,0.0057,0.0019,0.0057,0.0019
29,15913.7,1.09204,0.49889,1.11055,0.82344,0.82439,0.81037,0.27232,2.34229,0.85723,1.93887,0.0048,0.0016,0.0048,0.0016,0.0048,0.0016,0.0048,0.0016
30,16452.6,1.07765,0.4934,1.10618,0.82465,0.82677,0.81205,0.27492,2.34389,0.86112,1.93726,0.0039,0.0013,0.0039,0.0013,0.0039,0.0013,0.0039,0.0013
31,16996.1,1.07037,0.4896,1.10188,0.82084,0.82874,0.80311,0.27095,2.35291,0.85792,1.95012,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
32,17536.9,1.06191,0.4805,1.09873,0.82545,0.82951,0.80585,0.26949,2.35761,0.85484,1.95572,0.0021,0.0007,0.0021,0.0007,0.0021,0.0007,0.0021,0.0007
33,18051.7,1.04608,0.47347,1.08985,0.82443,0.82594,0.80372,0.2652,2.36603,0.8597,1.96098,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004
