epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.879,2.98694,10.776,0.68928,0.54812,0.27647,0.25313,0.06259,3.28336,2.4474,0.66289,0.000665686,0.000665686,0.000665686
2,199.281,3.27933,1.70494,0.71811,0.29065,0.27356,0.18533,0.04137,3.37333,2.07788,0.67351,0.00132356,0.00132356,0.00132356
3,301.294,3.06324,1.51866,0.70599,0.4231,0.12647,0.11338,0.03159,3.43097,2.84073,0.6692,0.00197263,0.00197263,0.00197263
4,581.757,3.05079,1.33926,0.70787,0.24792,0.08235,0.07464,0.02246,3.32186,3.57878,0.65701,0.0019604,0.0019604,0.0019604
5,674.875,3.02322,1.31011,0.70963,0.02523,0.22353,0.02027,0.00489,3.37468,3.98456,0.65986,0.0019472,0.0019472,0.0019472
6,769.15,2.98186,1.20003,0.70246,0.31619,0.15,0.10341,0.02687,3.30345,3.02586,0.65983,0.001934,0.001934,0.001934
7,1075.88,3.01959,1.19646,0.70027,0.31512,0.2,0.15968,0.04223,3.30596,2.7832,0.66144,0.0019208,0.0019208,0.0019208
8,1168.95,2.94095,1.20607,0.69776,0.34187,0.14706,0.11233,0.02783,3.2395,2.73627,0.65644,0.0019076,0.0019076,0.0019076
9,1262.5,2.9115,1.18908,0.69565,0.2441,0.08235,0.06933,0.01968,3.22499,4.19282,0.65019,0.0018944,0.0018944,0.0018944
10,1476.72,2.99354,1.13531,0.70025,0.50003,0.10882,0.11492,0.02944,3.14136,3.91296,0.64234,0.0018812,0.0018812,0.0018812
11,1579.62,2.85938,1.04823,0.70332,0.47813,0.22353,0.22541,0.07193,3.20623,2.72295,0.65934,0.001868,0.001868,0.001868
12,1685.24,2.88738,1.1246,0.69932,0.35575,0.20301,0.17395,0.04467,3.18654,2.8914,0.6541,0.0018548,0.0018548,0.0018548
13,1781.44,2.85125,1.03495,0.68684,0.41565,0.19412,0.1695,0.04782,3.11694,3.02987,0.64918,0.0018416,0.0018416,0.0018416
14,1877.45,2.84939,1.07612,0.70614,0.19874,0.10588,0.05511,0.01615,3.14718,3.9205,0.64046,0.0018284,0.0018284,0.0018284
15,1973.21,2.83303,1.06888,0.69838,0.43498,0.15,0.14274,0.04625,3.20247,3.358,0.65555,0.0018152,0.0018152,0.0018152
16,2068.61,2.7616,1.02982,0.69033,0.09275,0.25588,0.07874,0.02107,3.1346,3.87454,0.64513,0.001802,0.001802,0.001802
17,2164.05,2.74565,1.01905,0.69222,0.30546,0.11471,0.0985,0.02704,3.23277,3.79897,0.65027,0.0017888,0.0017888,0.0017888
18,2264.32,2.73599,1.02206,0.68972,0.4943,0.14087,0.15605,0.04408,3.0913,3.3605,0.64389,0.0017756,0.0017756,0.0017756
19,2364.6,2.72053,1.00445,0.68472,0.10959,0.07059,0.03448,0.0134,3.04296,5.43975,0.64315,0.0017624,0.0017624,0.0017624
20,2463.25,2.63017,0.9695,0.6845,0.46564,0.11471,0.12327,0.03843,3.15723,3.85506,0.63404,0.0017492,0.0017492,0.0017492
21,2561.29,2.71084,0.96373,0.69204,0.0708,0.09412,0.02223,0.00795,3.01221,4.98153,0.62579,0.001736,0.001736,0.001736
22,2657.96,2.70703,0.96574,0.68293,0.51437,0.16471,0.17491,0.04823,3.15499,3.94023,0.65509,0.0017228,0.0017228,0.0017228
23,2752.19,2.64713,0.94778,0.68143,0.43514,0.09412,0.1159,0.03718,3.0668,4.18319,0.63255,0.0017096,0.0017096,0.0017096
24,2924.5,2.7013,0.97844,0.68512,0.41493,0.17941,0.15798,0.04777,3.15647,3.12945,0.63916,0.0016964,0.0016964,0.0016964
25,3024.92,2.64635,0.96693,0.68156,0.47413,0.21176,0.20963,0.05177,3.04482,3.23299,0.62885,0.0016832,0.0016832,0.0016832
26,3126.78,2.65625,0.93827,0.684,0.43172,0.19412,0.15205,0.04014,3.06304,3.0562,0.62519,0.00167,0.00167,0.00167
27,3223.85,2.63282,0.93538,0.68598,0.52638,0.17647,0.16649,0.04767,2.85533,3.1838,0.59715,0.0016568,0.0016568,0.0016568
28,3323.97,2.64671,0.94198,0.67761,0.1306,0.20588,0.12239,0.03664,2.94889,4.06754,0.59868,0.0016436,0.0016436,0.0016436
29,3419.67,2.60874,0.939,0.69359,0.36122,0.1763,0.15366,0.04735,2.78271,3.41543,0.57583,0.0016304,0.0016304,0.0016304
30,3511.61,2.6642,0.91907,0.6824,0.53395,0.16174,0.14882,0.03993,3.0779,3.99427,0.62285,0.0016172,0.0016172,0.0016172
