epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.112,1.71028,3.08701,0.00704,0.48563,0.3,0.2937,0.13819,1.96352,2.88307,0.00973,0.000665428,0.000665428,0.000665428
2,346.896,1.96712,1.55345,0.00833,0.53135,0.24258,0.27971,0.12701,2.15815,2.83261,0.0109,0.00131891,0.00131891,0.00131891
3,509.728,1.9168,1.48416,0.00811,0.4449,0.32326,0.31144,0.13944,2.25486,2.63155,0.0112,0.00195919,0.00195919,0.00195919
4,672.423,1.90183,1.47259,0.00796,0.51914,0.2814,0.27088,0.1244,2.07256,3.1898,0.01032,0.0019406,0.0019406,0.0019406
5,838.741,1.82489,1.3811,0.00762,0.67513,0.37674,0.42712,0.19687,2.01404,2.48542,0.01031,0.0019208,0.0019208,0.0019208
6,1007.09,1.76649,1.25532,0.00747,0.48325,0.27209,0.27475,0.13106,2.10573,2.95483,0.01043,0.001901,0.001901,0.001901
7,1175.73,1.75236,1.22067,0.00727,0.54704,0.31176,0.331,0.18476,2.04948,2.84189,0.01015,0.0018812,0.0018812,0.0018812
8,1338.29,1.66754,1.1305,0.00696,0.45049,0.35116,0.32554,0.16986,2.00849,2.46834,0.0098,0.0018614,0.0018614,0.0018614
9,1500.52,1.66327,1.10922,0.00677,0.67079,0.37209,0.43632,0.23108,1.98427,2.22722,0.00978,0.0018416,0.0018416,0.0018416
10,1662.99,1.62234,1.03102,0.0066,0.52811,0.28372,0.31367,0.18218,1.82352,2.89766,0.00882,0.0018218,0.0018218,0.0018218
11,1826.47,1.61935,1.03174,0.00654,0.58244,0.36977,0.43628,0.23589,1.86687,2.28354,0.00909,0.001802,0.001802,0.001802
12,2001.63,1.58961,1.0527,0.00641,0.57119,0.37482,0.40914,0.21224,1.98572,2.49418,0.00979,0.0017822,0.0017822,0.0017822
13,2180.68,1.58493,0.95033,0.00635,0.49658,0.26047,0.26149,0.13467,2.16271,3.1109,0.01075,0.0017624,0.0017624,0.0017624
14,2360.6,1.53142,0.89947,0.00617,0.55664,0.29535,0.3326,0.16854,1.9012,3.05273,0.00925,0.0017426,0.0017426,0.0017426
15,2540.95,1.56098,0.92416,0.00625,0.50619,0.38372,0.37547,0.18953,2.04786,2.43381,0.00988,0.0017228,0.0017228,0.0017228
16,2717.13,1.54556,0.92121,0.00614,0.35142,0.22791,0.20246,0.10392,2.15219,2.95907,0.01061,0.001703,0.001703,0.001703
17,2887.14,1.48118,0.88581,0.00593,0.65895,0.4907,0.53259,0.29538,1.81011,2.09082,0.00867,0.0016832,0.0016832,0.0016832
18,3058.6,1.48458,0.8152,0.00591,0.72181,0.41628,0.50133,0.26071,1.91526,2.20924,0.00931,0.0016634,0.0016634,0.0016634
19,3238.35,1.46635,0.83406,0.00577,0.51999,0.3905,0.39948,0.2117,1.9817,2.46046,0.00964,0.0016436,0.0016436,0.0016436
20,3407.89,1.4541,0.78956,0.00569,0.70242,0.44884,0.50293,0.27598,1.83159,2.09099,0.00892,0.0016238,0.0016238,0.0016238
21,3576.81,1.43133,0.78784,0.0057,0.68585,0.42648,0.49191,0.27153,1.91997,2.06738,0.00949,0.001604,0.001604,0.001604
22,3745.87,1.43115,0.76263,0.00556,0.72825,0.47987,0.54032,0.30523,1.78035,1.9907,0.00851,0.0015842,0.0015842,0.0015842
23,3914.93,1.40002,0.75331,0.00559,0.69842,0.39316,0.47714,0.26942,1.88599,2.14041,0.00904,0.0015644,0.0015644,0.0015644
24,4085.87,1.40253,0.73176,0.00548,0.57807,0.41163,0.43256,0.24594,1.87461,2.5092,0.00902,0.0015446,0.0015446,0.0015446
25,4263.24,1.38628,0.73684,0.00541,0.7126,0.45553,0.51848,0.27961,1.94212,1.99333,0.00953,0.0015248,0.0015248,0.0015248
26,4433.19,1.39286,0.72435,0.00545,0.68793,0.39302,0.45691,0.25331,1.95169,2.27995,0.00929,0.001505,0.001505,0.001505
27,4602.09,1.36712,0.69067,0.00535,0.54091,0.3907,0.42848,0.24143,1.95138,2.20045,0.00949,0.0014852,0.0014852,0.0014852
28,4781.51,1.35287,0.71355,0.00533,0.69184,0.52558,0.58279,0.3387,1.75607,1.78226,0.00835,0.0014654,0.0014654,0.0014654
29,4953.93,1.35353,0.69639,0.00535,0.6329,0.43023,0.46903,0.26695,2.04804,2.15672,0.00993,0.0014456,0.0014456,0.0014456
30,5124.31,1.32193,0.68325,0.00519,0.75946,0.45581,0.50453,0.28267,1.92299,2.34121,0.00933,0.0014258,0.0014258,0.0014258
31,5295.29,1.32839,0.6639,0.00515,0.55915,0.40999,0.4231,0.23453,1.89062,2.40794,0.00917,0.001406,0.001406,0.001406
32,5466.68,1.29263,0.67367,0.005,0.72458,0.47674,0.53729,0.29801,1.88812,2.04939,0.00895,0.0013862,0.0013862,0.0013862
33,5639.67,1.3297,0.67375,0.00515,0.74686,0.43953,0.51156,0.29061,1.78621,2.11351,0.00854,0.0013664,0.0013664,0.0013664
34,5811.01,1.33309,0.65078,0.00523,0.70962,0.47209,0.52158,0.30938,1.8125,2.12235,0.00874,0.0013466,0.0013466,0.0013466
35,5976.27,1.30857,0.6367,0.00512,0.68579,0.40099,0.45357,0.25305,1.89435,2.35936,0.00917,0.0013268,0.0013268,0.0013268
36,6146.45,1.26202,0.60793,0.00489,0.71647,0.40465,0.46811,0.26394,1.91821,2.22745,0.00935,0.001307,0.001307,0.001307
37,6315.7,1.29409,0.62296,0.00506,0.69055,0.3186,0.37871,0.20477,1.84448,2.65999,0.00896,0.0012872,0.0012872,0.0012872
38,6486.37,1.27557,0.62857,0.00497,0.76547,0.42326,0.48948,0.27334,1.848,2.02622,0.00895,0.0012674,0.0012674,0.0012674
39,6656.38,1.25252,0.62965,0.0049,0.66388,0.51163,0.54976,0.32084,1.8099,1.84196,0.00878,0.0012476,0.0012476,0.0012476
40,6825.98,1.24939,0.58298,0.00478,0.60909,0.47469,0.50449,0.28961,1.90338,1.99048,0.00919,0.0012278,0.0012278,0.0012278
41,6996.48,1.26037,0.61772,0.00487,0.68592,0.43488,0.4787,0.27303,1.91332,2.29311,0.00909,0.001208,0.001208,0.001208
42,7166.34,1.23276,0.57503,0.00477,0.47908,0.39767,0.38812,0.21736,1.95147,2.46589,0.00938,0.0011882,0.0011882,0.0011882
43,7336.18,1.22836,0.57466,0.0047,0.75763,0.42164,0.49439,0.28657,1.86839,2.19217,0.00902,0.0011684,0.0011684,0.0011684
44,7506.06,1.21219,0.54946,0.00465,0.79172,0.42558,0.50207,0.29298,1.84466,2.23541,0.00886,0.0011486,0.0011486,0.0011486
45,7676.14,1.23586,0.59239,0.0047,0.69834,0.48991,0.54747,0.32598,1.72428,1.88648,0.00833,0.0011288,0.0011288,0.0011288
46,7842.61,1.19772,0.5696,0.00457,0.71939,0.46279,0.52021,0.31375,1.77593,2.05225,0.00848,0.001109,0.001109,0.001109
47,8005.11,1.23272,0.56677,0.00469,0.60635,0.3814,0.42001,0.22742,1.97086,2.51639,0.00955,0.0010892,0.0010892,0.0010892
48,8167.51,1.20759,0.56985,0.00457,0.68969,0.44419,0.49712,0.29075,1.78347,2.31465,0.00849,0.0010694,0.0010694,0.0010694
49,8329.19,1.20997,0.54515,0.00457,0.64899,0.4,0.46199,0.27397,1.85266,2.17022,0.0088,0.0010496,0.0010496,0.0010496
50,8490.83,1.18973,0.54962,0.00453,0.67044,0.4,0.45338,0.28108,1.87821,2.24201,0.009,0.0010298,0.0010298,0.0010298
51,8652.45,1.15649,0.51678,0.00438,0.74886,0.46462,0.56353,0.32558,1.79971,1.79069,0.00856,0.00101,0.00101,0.00101
52,8814.11,1.17816,0.55447,0.00449,0.75857,0.44419,0.51886,0.31439,1.76155,2.13486,0.00845,0.0009902,0.0009902,0.0009902
53,8975.7,1.15098,0.53599,0.00436,0.73015,0.45116,0.51505,0.31387,1.82357,2.03853,0.00863,0.0009704,0.0009704,0.0009704
54,9137.37,1.15469,0.49981,0.00441,0.78256,0.48545,0.55167,0.33257,1.79053,2.14678,0.00857,0.0009506,0.0009506,0.0009506
55,9299.13,1.14401,0.50206,0.00435,0.74177,0.46279,0.55519,0.32874,1.84523,1.83934,0.00892,0.0009308,0.0009308,0.0009308
56,9460.94,1.1449,0.50875,0.00435,0.72109,0.4186,0.47616,0.29795,1.84797,2.28998,0.00878,0.000911,0.000911,0.000911
57,9622.66,1.13806,0.50349,0.00434,0.79087,0.44419,0.54362,0.33214,1.79388,1.96138,0.00843,0.0008912,0.0008912,0.0008912
58,9786.45,1.11807,0.49385,0.00419,0.72819,0.42093,0.47794,0.29519,1.80807,2.3348,0.00848,0.0008714,0.0008714,0.0008714
