epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5786,1.57349,5.97784,0.00619,0.54534,0.34419,0.37069,0.20744,1.61407,4.80576,0.00781,0.00066481,0.00066481,0.00066481
2,148.335,1.65189,2.52139,0.00659,0.55664,0.32326,0.35357,0.18621,1.74159,3.0242,0.00843,0.00131829,0.00131829,0.00131829
3,219.642,1.72254,1.72516,0.00695,0.15846,0.1814,0.09732,0.03854,1.91904,3.63014,0.00934,0.00195858,0.00195858,0.00195858
4,287.517,1.71293,1.52752,0.00685,0.512,0.34186,0.35603,0.16667,1.85877,2.60825,0.00896,0.0019406,0.0019406,0.0019406
5,357.601,1.69519,1.44991,0.00692,0.41738,0.36485,0.2984,0.12672,1.85332,2.57275,0.00901,0.0019208,0.0019208,0.0019208
6,433.283,1.67159,1.37298,0.00674,0.19654,0.16744,0.0979,0.03819,2.02154,4.48889,0.00998,0.001901,0.001901,0.001901
7,502.341,1.69912,1.29159,0.00683,0.40733,0.36977,0.30463,0.13083,1.91297,2.82129,0.00936,0.0018812,0.0018812,0.0018812
8,573.915,1.61193,1.20439,0.00649,0.38872,0.37858,0.27917,0.13634,1.90843,2.82037,0.00936,0.0018614,0.0018614,0.0018614
9,649.103,1.59846,1.14317,0.00632,0.54901,0.39918,0.3715,0.18606,1.76773,2.70907,0.00851,0.0018416,0.0018416,0.0018416
10,721.218,1.61435,1.11551,0.00641,0.55512,0.35814,0.37355,0.18878,1.86232,2.66802,0.00911,0.0018218,0.0018218,0.0018218
11,796.012,1.57214,1.05001,0.0063,0.53923,0.45581,0.42513,0.23066,1.7615,2.26208,0.00836,0.001802,0.001802,0.001802
12,866.279,1.58536,1.09363,0.00631,0.56547,0.37907,0.36996,0.18471,1.79628,2.6996,0.00882,0.0017822,0.0017822,0.0017822
13,941.007,1.57695,1.02765,0.00633,0.6198,0.27674,0.29487,0.15053,1.80377,3.08989,0.0087,0.0017624,0.0017624,0.0017624
14,1013.85,1.5714,1.00699,0.00615,0.65027,0.43721,0.48891,0.25076,1.75616,2.25601,0.00837,0.0017426,0.0017426,0.0017426
15,1089.57,1.5491,0.96234,0.00608,0.62374,0.46744,0.50298,0.24987,1.81607,2.28281,0.00864,0.0017228,0.0017228,0.0017228
16,1158.15,1.5242,0.94156,0.0061,0.60057,0.4,0.4246,0.23201,1.67724,2.44531,0.00805,0.001703,0.001703,0.001703
17,1229.93,1.53367,0.96142,0.00601,0.50614,0.39803,0.36101,0.18416,1.74217,2.37113,0.00831,0.0016832,0.0016832,0.0016832
18,1308.45,1.53598,0.94457,0.00596,0.45381,0.31395,0.28914,0.15088,1.76463,2.93347,0.00843,0.0016634,0.0016634,0.0016634
19,1384.23,1.53278,0.90988,0.00603,0.50225,0.36279,0.32515,0.15295,1.77408,2.65599,0.00847,0.0016436,0.0016436,0.0016436
20,1457.18,1.51296,0.88367,0.00592,0.39052,0.36047,0.29844,0.15082,1.89106,2.70231,0.00915,0.0016238,0.0016238,0.0016238
21,1528.24,1.51896,0.86962,0.00589,0.51606,0.40698,0.414,0.21045,1.86046,2.52075,0.00902,0.001604,0.001604,0.001604
