epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.245,1.73817,2.27189,0.00729,0.59818,0.4016,0.45116,0.23118,1.81157,2.37763,0.00894,0.000665891,0.000665891,0.000665891
2,278.572,1.87584,1.64927,0.00804,0.46637,0.36744,0.36668,0.18189,2.14725,2.39879,0.01074,0.00131937,0.00131937,0.00131937
3,423.123,1.93613,1.60435,0.00829,0.44764,0.3694,0.35047,0.15704,2.09822,2.55901,0.01038,0.00195964,0.00195964,0.00195964
4,561.277,1.91599,1.50456,0.00817,0.58915,0.37442,0.41827,0.19767,2.01488,2.33,0.01013,0.0019406,0.0019406,0.0019406
5,703.698,1.84757,1.37463,0.00795,0.61083,0.42791,0.4533,0.23727,1.97871,2.12289,0.00976,0.0019208,0.0019208,0.0019208
6,843.692,1.76915,1.32518,0.00744,0.58521,0.43953,0.46578,0.2429,1.88439,2.21692,0.00918,0.001901,0.001901,0.001901
7,983.896,1.76749,1.19877,0.00751,0.57655,0.4,0.43668,0.23001,1.91346,2.37026,0.00937,0.0018812,0.0018812,0.0018812
8,1124.44,1.71021,1.23675,0.00719,0.65879,0.37907,0.43739,0.22249,2.10416,2.2425,0.01015,0.0018614,0.0018614,0.0018614
9,1264.14,1.68013,1.12686,0.00698,0.69055,0.50698,0.56707,0.29936,1.9124,1.9031,0.00928,0.0018416,0.0018416,0.0018416
10,1392.12,1.63857,1.11943,0.00682,0.49747,0.40518,0.41253,0.21725,1.81686,2.2214,0.00888,0.0018218,0.0018218,0.0018218
11,1531.24,1.65961,1.10716,0.0069,0.70818,0.46278,0.55793,0.30856,1.74185,1.87595,0.00831,0.001802,0.001802,0.001802
12,1694.65,1.63984,1.02103,0.0068,0.69824,0.44125,0.49658,0.27537,1.83298,2.22866,0.00884,0.0017822,0.0017822,0.0017822
13,1824.61,1.59887,1.02266,0.00662,0.52637,0.45116,0.44637,0.24319,1.89105,2.34331,0.00907,0.0017624,0.0017624,0.0017624
14,1954.79,1.57469,1.01528,0.00646,0.69446,0.407,0.4874,0.25814,1.87723,2.24371,0.00895,0.0017426,0.0017426,0.0017426
