epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.491,1.53723,10.1123,0.97025,0.54494,0.32164,0.36645,0.15038,2.36113,2.62154,1.36377,0.000666035,0.000666035,0.000666035
2,519.136,1.61331,1.76446,1.02257,0.48111,0.31871,0.30055,0.11502,2.26947,2.60598,1.3376,0.00132391,0.00132391,0.00132391
3,775.394,1.58334,1.65984,0.99872,0.43238,0.12865,0.1283,0.04522,1.27567,3.07165,0.88848,0.00197298,0.00197298,0.00197298
4,1028.7,1.56683,1.61133,0.97897,0.56902,0.28363,0.33819,0.13824,2.29204,2.85032,1.37898,0.0019604,0.0019604,0.0019604
5,1285.28,1.53385,1.49867,0.97017,0.55014,0.27176,0.32676,0.16355,2.14466,2.51288,1.30517,0.0019472,0.0019472,0.0019472
6,1541.37,1.52177,1.43206,0.95533,0.59529,0.3538,0.38499,0.18398,2.12231,2.48529,1.30991,0.001934,0.001934,0.001934
7,1795.26,1.40996,1.26389,0.90976,0.63875,0.34211,0.41079,0.19413,2.15672,2.55353,1.29136,0.0019208,0.0019208,0.0019208
8,2049.92,1.39828,1.27547,0.89886,0.58025,0.22515,0.27273,0.12471,2.29367,2.94317,1.36399,0.0019076,0.0019076,0.0019076
9,2305.57,1.43247,1.2022,0.92483,0.5306,0.4269,0.44042,0.19857,2.17073,2.14076,1.29408,0.0018944,0.0018944,0.0018944
10,2561.7,1.43639,1.16993,0.90934,0.59633,0.25146,0.31156,0.13848,2.07414,3.09394,1.25582,0.0018812,0.0018812,0.0018812
11,2815.14,1.33646,1.09674,0.86496,0.54044,0.34503,0.36691,0.17318,2.18899,2.44061,1.2843,0.001868,0.001868,0.001868
12,3071.42,1.3617,1.06273,0.87167,0.33422,0.18495,0.16614,0.06799,2.4095,3.29643,1.38022,0.0018548,0.0018548,0.0018548
13,3324.39,1.30981,0.99117,0.83332,0.5537,0.29825,0.33443,0.1648,2.27943,2.70304,1.3124,0.0018416,0.0018416,0.0018416
14,3575.05,1.33299,1.00521,0.85859,0.61439,0.41813,0.4564,0.21739,2.11923,2.18183,1.25292,0.0018284,0.0018284,0.0018284
15,3822.25,1.23684,0.97797,0.83505,0.74644,0.36152,0.46527,0.23642,2.07552,2.59481,1.21724,0.0018152,0.0018152,0.0018152
16,4069.94,1.22115,0.8922,0.8092,0.48465,0.36842,0.33891,0.14523,2.17568,2.47153,1.25218,0.001802,0.001802,0.001802
17,4317.71,1.27139,0.94002,0.84564,0.61135,0.24854,0.28983,0.15642,1.98001,3.25368,1.21946,0.0017888,0.0017888,0.0017888
18,4565,1.28569,0.91547,0.84096,0.60929,0.19883,0.26778,0.11006,2.18744,3.46503,1.28098,0.0017756,0.0017756,0.0017756
