epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1035,1.76507,6.83305,0.00257,0.05637,0.70468,0.34727,0.16953,1.77139,7.81826,0.00266,0.000660066,0.000660066,0.000660066
2,133.461,1.76608,4.04471,0.00257,0.58241,0.42105,0.44516,0.18124,2.03969,4.18333,0.00311,0.0013136,0.0013136,0.0013136
3,186.155,1.88964,2.81951,0.00282,0.53558,0.40058,0.42013,0.19846,2.03014,3.18574,0.00338,0.00195393,0.00195393,0.00195393
4,237.648,1.91043,2.02813,0.00292,0.71615,0.47368,0.52927,0.26286,1.9018,2.40374,0.00305,0.0019406,0.0019406,0.0019406
5,289.071,1.84571,1.61364,0.00264,0.57404,0.42982,0.42251,0.15861,2.25677,2.63377,0.00362,0.0019208,0.0019208,0.0019208
6,340.45,1.88066,1.52372,0.0027,0.63457,0.54678,0.57719,0.27523,1.99548,1.78347,0.00305,0.001901,0.001901,0.001901
7,392.321,1.77211,1.4458,0.00254,0.59945,0.49415,0.53596,0.24255,2.10877,1.93606,0.00327,0.0018812,0.0018812,0.0018812
8,444.464,1.80938,1.30752,0.0026,0.75406,0.55848,0.60975,0.29488,2.04391,1.6804,0.00316,0.0018614,0.0018614,0.0018614
9,496.326,1.80109,1.24661,0.00259,0.69762,0.56666,0.60696,0.27424,2.03022,1.68436,0.00329,0.0018416,0.0018416,0.0018416
10,548.111,1.78103,1.25283,0.00249,0.79143,0.54094,0.63611,0.31915,1.87506,1.67556,0.00287,0.0018218,0.0018218,0.0018218
11,599.988,1.8159,1.20608,0.00261,0.61027,0.37427,0.40935,0.20287,1.98932,2.75291,0.00323,0.001802,0.001802,0.001802
12,651.991,1.77615,1.1504,0.0025,0.83836,0.54386,0.6152,0.28027,2.11087,1.75733,0.00342,0.0017822,0.0017822,0.0017822
13,704.099,1.74815,1.08142,0.0025,0.58275,0.38596,0.39555,0.17983,2.09321,2.73803,0.00334,0.0017624,0.0017624,0.0017624
14,756.289,1.75726,1.10213,0.00247,0.68724,0.47368,0.50501,0.24019,2.0319,2.09123,0.00311,0.0017426,0.0017426,0.0017426
15,808.484,1.72791,1.03326,0.00243,0.63541,0.50959,0.53229,0.26876,1.95429,2.05524,0.00299,0.0017228,0.0017228,0.0017228
16,860.91,1.71052,1.02679,0.00243,0.74048,0.42398,0.49495,0.25545,1.96157,2.27366,0.00305,0.001703,0.001703,0.001703
17,913.54,1.66345,0.99776,0.00245,0.73156,0.47811,0.52396,0.23786,2.17805,2.2243,0.00335,0.0016832,0.0016832,0.0016832
18,966,1.73748,1.02604,0.00245,0.79787,0.39766,0.44809,0.21283,2.17081,2.82857,0.00353,0.0016634,0.0016634,0.0016634
19,1018.93,1.72913,1.02764,0.00246,0.75549,0.54971,0.59484,0.28772,2.05299,1.65013,0.00317,0.0016436,0.0016436,0.0016436
20,1070.82,1.667,1.01273,0.00235,0.75686,0.54094,0.59074,0.27717,2.05215,1.77979,0.00313,0.0016238,0.0016238,0.0016238
21,1122.99,1.68147,0.9363,0.00229,0.75537,0.5614,0.61948,0.31284,1.99152,1.53581,0.00312,0.001604,0.001604,0.001604
22,1175.42,1.66708,0.97455,0.00232,0.7919,0.53411,0.6124,0.28663,2.12601,1.73142,0.00348,0.0015842,0.0015842,0.0015842
23,1227.65,1.74065,0.99656,0.00242,0.74742,0.50184,0.57469,0.29529,1.9516,1.98494,0.00299,0.0015644,0.0015644,0.0015644
